Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5393	-41.91584778	3.889854431	-125.4173355	5.499880899e-003
5394	57.95358658	3.405758858	-111.4960251	1.052208609e-002
5395	-53.18731308	3.24233222	-111.303093	5.456181043e-003
5396	-74.10760498	3.181971788	-97.53873444	5.025705377e-003
5397	-55.39300156	3.908683062	120.349678	5.251216407e-003
5398	-105.7788391	2.923660517	-53.95695877	4.5670904e-003
5399	-114.1502762	2.937226295	-33.43306732	4.437792995e-003
5400	-99.58981323	1.897740722	24.23121262	4.658028956e-003
5401	-100.0272598	2.10838294	35.18528748	4.684415217e-003
5402	-90.18323517	2.285626173	61.08660126	4.842309409e-003
5403	-113.0141068	2.550140858	4.400659084	4.499317129e-003
5404	86.87725067	2.674726009	-75.36904907	1.902152326e-002
5405	-94.5496521	2.332387686	-55.57717896	4.806520792e-003
5406	-17.84129715	1.68205297	-97.11392212	6.843668871e-003
5407	-27.22593117	2.070295095	-101.8269653	6.481799574e-003
5408	33.30245209	4.093664646	130.7349396	7.554532658e-003
5409	-124.2303085	4.020971775	-50.12747574	4.031858225e-003
5410	122.0636215	3.332366467	25.16462898	3.964930875e-002
5411	122.0595245	3.229083538	-16.50192261	4.088607602e-002
5412	86.4704895	3.262740612	-88.38349915	1.656968561e-002
5413	46.27780151	3.106801271	-112.2527466	9.791177035e-003
5414	-38.86677551	2.641464233	-107.707756	6.009124718e-003
5415	-78.05138397	2.71585536	-85.32447052	5.045203579e-003
5416	-66.92173767	3.220613241	103.2600555	5.230373517e-003
5417	-77.08518982	1.81941998	65.48808289	5.012061138e-003
5418	-106.2086792	2.174821138	13.99998569	4.603301932e-003
5419	-73.00721741	2.249739885	80.05482483	5.192054232e-003
5420	112.6134338	2.718796015	-26.47270012	3.549905159e-002
5421	32.73925018	2.528626442	-107.9087601	9.384988516e-003
5422	43.51702499	3.473649502	118.8871994	8.937219718e-003
5423	95.18245697	3.268851042	79.060112	1.981610876e-002
5424	-88.09609985	2.463758945	-68.75982666	4.896445262e-003
