Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
7921	167.4897156	15.75075436	176.0652618	-2.655840262e-003
7922	161.7853546	15.74806595	181.2949524	-2.824688636e-003
7923	155.9091797	15.74316025	186.3263245	-2.906619557e-003
7924	149.809967	15.73797512	191.2170715	-2.911491265e-003
7925	143.585083	15.73175526	195.8788605	-2.861817165e-003
7926	137.2064209	15.72913647	200.3757019	-2.759097697e-003
7927	130.6605835	15.7290144	204.7032318	-2.619451152e-003
7928	123.9880295	15.73419857	208.8557739	-2.453075012e-003
7929	117.1137619	15.7405014	212.8384857	-2.272301799e-003
7930	110.1931686	15.74540424	216.5421448	-2.093548346e-003
7931	103.2155991	15.74839497	219.9774017	-1.928028269e-003
7932	96.12927246	15.76279449	223.2781677	-1.771169764e-003
7933	89.03263092	15.76589203	226.2256012	-1.632250132e-003
7934	81.79944611	15.76697254	228.9486084	-1.497032599e-003
7935	74.47688293	15.76969719	231.4548798	-1.362282319e-003
7936	67.20545197	15.76565456	233.6395264	-1.235822992e-003
7937	59.79360199	15.77110291	235.6858521	-1.110137759e-003
7938	52.23226166	15.78266716	237.5613861	-9.898229791e-004
7939	44.75905991	15.78336048	239.0871735	-8.794818882e-004
7940	37.22935867	15.7774992	240.3320313	-7.752960869e-004
7941	29.63393021	15.76488113	241.2946777	-6.781340858e-004
7942	21.96560478	15.75488472	242.0408478	-5.852996878e-004
7943	14.22391796	15.7517395	242.5962067	-4.964424534e-004
7944	6.507122517	15.75364971	242.9394684	-4.155979809e-004
7945	-1.232312322	15.74679756	242.9740753	-3.447619576e-004
7946	-8.98806572	15.74202442	242.7764587	-2.816695996e-004
7947	-16.7676506	15.73606873	242.3203735	-2.256809353e-004
7948	-24.54920197	15.73062992	241.6166382	-1.780680066e-004
7949	-32.31939697	15.73000622	240.6959381	-1.376114795e-004
7950	-40.16281509	15.73579025	239.5543671	-1.018329883e-004
7951	-47.89749908	15.73972702	238.1574402	-7.170499572e-005
7952	-55.5045166	15.74045849	236.5057068	-4.782359042e-005
7953	-63.04302979	15.74073696	234.6108551	-2.93221607e-005
7954	-70.661026	15.75828648	232.5622559	-1.420130324e-005
7955	-77.98731995	15.75671387	230.1969757	-3.716479124e-006
7956	-85.25704956	15.76149845	227.6415405	4.180564783e-006
7957	-92.46453857	15.76292324	224.8215637	9.534010914e-006
7958	-99.42668152	15.76317501	221.8324738	1.258213533e-005
7959	-106.3290558	15.75031948	218.5048981	1.349091328e-005
7960	-113.1694641	15.74874401	215.0288544	1.36601539e-005
7961	-119.8586731	15.74212646	211.3183441	1.286870432e-005
7962	-126.370697	15.71237278	207.238327	1.081884982e-005
7963	-132.8696594	15.70622349	203.0797424	9.368905651e-006
7964	-139.19664	15.69709492	198.7159576	7.754517029e-006
7965	-145.4251862	15.6904211	194.1439362	5.91520255e-006
7966	-151.5509186	15.68729019	189.3718414	4.015183297e-006
7967	-157.4856415	15.68221474	184.4176331	1.731990218e-006
7968	-163.3158569	15.67942142	179.2476959	-4.876522519e-007
7969	-168.9651642	15.67659378	173.9041901	-2.436757685e-006
7970	-174.5157776	15.68036556	168.3726807	-4.27287894e-006
7971	-179.8822327	15.68733311	162.7019196	-5.918979085e-006
7972	-185.1236572	15.7008009	156.8628693	-7.354707954e-006
7973	-190.2111816	15.72167492	150.8959351	-8.865525203e-006
7974	-195.1283569	15.74755669	144.794693	-1.02186668e-005
7975	-199.8674011	15.76169491	138.3587646	-1.181428644e-005
7976	-204.1130829	15.7610178	132.006073	-1.33855691e-005
7977	-208.1896362	15.76362038	125.5147095	-1.445561271e-005
7978	-212.2413025	15.77940845	118.7679443	-1.509849312e-005
7979	-215.924469	15.7810545	111.9579697	-1.601448929e-005
7980	-219.2600555	15.77335548	105.147583	-1.704156283e-005
7981	-222.3296814	15.7586031	98.22831726	-1.831519647e-005
7982	-225.3349152	15.75706482	91.09378052	-1.914445846e-005
7983	-227.914566	15.73200321	83.91082001	-2.048969527e-005
7984	-230.3940277	15.72543812	76.69197083	-2.119424991e-005
7985	-232.6248322	15.71526909	69.37664795	-2.181647041e-005
7986	-234.6585083	15.70695782	61.91677094	-2.218064665e-005
7987	-236.453476	15.69878769	54.4005661	-2.237566932e-005
7988	-238.0294037	15.69350338	46.83113861	-2.277394451e-005
