Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5546	81.6160202	2.178374767	-69.48065948	2.328772331e-003
5547	84.63709259	1.894764423	-57.71841812	4.173692316e-003
5548	-89.00376892	2.155890226	-59.06158829	2.821330447e-003
5549	-23.64920807	4.504944801	-138.1400909	-4.703014623e-003
5550	137.1811981	4.533563137	-30.39041328	-4.161222372e-003
5551	139.4402618	4.50357151	-13.91302109	-4.20618616e-003
5552	108.7430115	4.468423843	87.68660736	-3.506808076e-003
5553	89.28738403	4.243676662	103.7021942	-3.31793935e-003
5554	47.05818939	4.136062622	127.0227737	-3.537955461e-003
5555	23.69968605	3.922242165	130.5307312	-3.75752314e-003
5556	-60.87047577	4.602849483	127.5925217	-4.25367523e-003
5557	-44.24431229	4.474863529	-132.5858002	-4.172704648e-003
5558	121.6991653	3.204072475	16.50771904	-2.411215333e-003
5559	122.6112442	3.208021879	-7.969622135	-2.5319329e-003
5560	67.65200043	3.926381826	114.1825714	-2.973850816e-003
5561	-48.18620682	2.652899742	-104.0660934	4.748944193e-004
5562	-31.39406776	3.41364336	121.7867966	-3.199623432e-003
5563	-108.2945709	2.507242203	-30.22424126	4.697476397e-004
5564	-82.90436554	1.798731446	57.31650162	6.48999447e-003
5565	-105.4815369	2.203196526	-21.19829178	2.296836115e-003
5566	-105.6916351	2.094000101	4.725740433	2.971663373e-003
5567	-99.1375885	2.411059141	-49.758358	1.032545231e-003
5568	-1.879068851	4.923849106	-145.2805786	-4.94439574e-003
5569	113.9490051	2.692941904	-17.53880882	-9.287143475e-004
5570	80.69598389	2.661843061	-81.6771698	-8.448190056e-005
5571	40.98402405	2.513054132	-104.794548	5.461428664e-004
5572	53.05046463	3.56877327	116.3911438	-2.475582995e-003
5573	-35.80686951	2.11626339	-99.94469452	3.370695049e-003
5574	-73.95909119	2.202438593	-78.12245941	2.876259154e-003
5575	-18.77686501	3.101247787	119.8761139	-2.752395347e-003
5576	-98.97892761	1.754859686	14.41327667	5.968343001e-003
5577	-93.14239502	1.544388294	24.32054901	8.499264717e-003
5578	104.4666443	2.222092152	-26.99369812	1.376282074e-003
5579	28.28071213	2.034258842	-100.9152985	3.156362334e-003
5580	38.8229866	2.868583202	111.3565369	-8.176111733e-004
5581	-82.89130402	1.962152719	-62.12921524	4.325812217e-003
5582	-65.77683258	2.209995747	85.28163147	3.152638674e-003
5583	94.86465454	1.828761697	-35.55628967	4.261207301e-003
5584	15.51209068	1.671062112	-97.31539154	6.025174633e-003
5585	91.77008057	2.30044198	59.11650085	2.092641313e-003
5586	-10.51792049	2.055425167	104.6290817	1.875094953e-003
5587	86.03288269	1.680705786	-48.40504074	5.814485718e-003
5588	-37.61646652	4.521953583	-135.2278595	-4.383651074e-003
5589	-30.7336235	4.544520378	-137.2446747	-4.576967563e-003
5590	-15.97676277	4.483452797	-138.9654541	-4.793430679e-003
5591	-7.295649529	4.460718632	-139.405014	-4.810424987e-003
5592	4.148078918	4.706682682	-142.589386	-4.833139013e-003
5593	9.840179443	4.670969009	-141.8694916	-4.727818538e-003
5594	15.37001038	4.622765064	-140.7786255	-4.603381269e-003
5595	20.62308311	4.583153248	-139.6092072	-4.467278719e-003
5596	25.5839386	4.55997467	-138.4928741	-4.354076926e-003
5597	30.28690529	4.561517715	-137.5606232	-4.268129822e-003
5598	39.3307457	4.660441399	-136.5283203	-4.202457145e-003
5599	43.3151207	4.576581478	-134.2267151	-4.108014517e-003
5600	47.4650116	4.573412418	-132.7741699	-4.055775236e-003
5601	55.37376404	4.469948292	-128.2695313	-3.913579509e-003
5602	60.39814377	4.517937183	-126.6473999	-3.908530343e-003
5603	65.54803467	4.551246643	-124.5298462	-3.900835756e-003
5604	74.93907166	4.608325481	-119.951622	-3.875040449e-003
5605	82.53030396	4.554613113	-114.0384827	-3.815984819e-003
5606	85.96452332	4.509377003	-110.759201	-3.782890737e-003
5607	89.31917572	4.444029331	-107.0073929	-3.739889711e-003
5608	98.05400848	4.539235115	-100.7350311	-3.794549266e-003
5609	102.3510132	4.549284935	-96.5485611	-3.798513208e-003
5610	106.1181259	4.574672222	-92.87229919	-3.816772951e-003
5611	109.224205	4.553156376	-88.77496338	-3.810459748e-003
5612	111.7772598	4.540352821	-85.27542114	-3.808993613e-003
5613	116.6341019	4.502994061	-77.66349792	-3.8267856e-003
5614	118.9381409	4.503003597	-74.08700562	-3.850422101e-003
5615	121.4238434	4.514838696	-70.23455048	-3.885914804e-003
5616	126.6676407	4.59744978	-62.62149429	-3.989614546e-003
5617	129.1949158	4.630959511	-58.24303055	-4.037100356e-003
5618	130.8748169	4.618686676	-53.96617889	-4.060991108e-003
5619	133.8626862	4.580347538	-44.57569504	-4.108657129e-003
5620	135.2757874	4.474251747	-35.14068604	-4.106296692e-003
5621	139.0094452	4.601685047	-25.63905525	-4.212438595e-003
5622	139.4167175	4.558668137	-19.82971001	-4.215311725e-003
5623	140.7627106	4.555299759	-2.071359873	-4.245724063e-003
5624	140.0886078	4.51026535	5.983141899	-4.219476599e-003
5625	138.4127808	4.398405552	10.51265621	-4.139288329e-003
5626	138.1907043	4.421708107	15.92486668	-4.13424382e-003
5627	138.8146362	4.524496555	20.99958992	-4.164091777e-003
5628	139.6424866	4.647246838	25.31059074	-4.192352761e-003
5629	136.4289856	4.536925793	33.78128433	-4.069116432e-003
5630	134.6951599	4.498047352	38.40588379	-3.997807391e-003
5631	130.8701782	4.591164589	53.07648087	-3.870388493e-003
5632	129.6366577	4.647467613	57.75606155	-3.847839776e-003
5633	127.2008057	4.618038654	62.11480331	-3.788954811e-003
5634	121.3379135	4.489469051	69.7484436	-3.624759847e-003
5635	118.8803101	4.507181168	74.27838135	-3.594404086e-003
5636	116.2482834	4.560489178	79.51701355	-3.595715854e-003
